month,class,geometry
Jan,background,"c(-68.2283240047094, 42.0057208316301)"
Jan,background,"c(-72.0947213947015, 39.2910162812101)"
Jan,background,"c(-67.6524775849234, 42.9928861226919)"
Jan,background,"c(-69.1332255215161, 42.8283585741816)"
Jan,background,"c(-68.55737910173, 41.9234570573749)"
Jan,background,"c(-67.8992689076888, 43.0751498969471)"
Jan,background,"c(-72.5883040402324, 39.4555438297204)"
Jan,background,"c(-69.9558632640676, 42.1702483801404)"
Jan,background,"c(-69.1332255215161, 41.5944019603543)"
Jan,background,"c(-67.4056862621579, 42.1702483801404)"
Jan,background,"c(-68.55737910173, 43.2396774454574)"
Jan,background,"c(-66.5830485196064, 44.8026891563052)"
Jan,background,"c(-70.5317096838536, 40.7717642178028)"
Jan,background,"c(-69.5445443927918, 41.8411932831198)"
Jan,background,"c(-67.8992689076888, 42.9928861226919)"
Jan,background,"c(-67.8992689076888, 43.8155238652434)"
Jan,background,"c(-69.4622806185367, 41.9234570573749)"
Jan,background,"c(-70.6139734581088, 40.9362917663131)"
Jan,background,"c(-68.8864341987506, 41.1830830890786)"
Jan,background,"c(-68.4751153274749, 41.9234570573749)"
Jan,background,"c(-68.3105877789646, 41.7589295088646)"
Jan,background,"c(-67.6524775849234, 43.0751498969471)"
Jan,background,"c(-72.0947213947015, 39.8668627009962)"
Jan,background,"c(-70.4494459095985, 42.8283585741816)"
Jan,background,"c(-65.4313556800343, 41.7589295088646)"
Jan,background,"c(-72.6705678144876, 38.9619611841895)"
Jan,background,"c(-68.8864341987506, 41.429874411844)"
Jan,background,"c(-69.626808167047, 41.6766657346095)"
Jan,background,"c(-68.4751153274749, 40.9362917663131)"
Jan,background,"c(-68.7219066502403, 41.3476106375889)"
Jan,background,"c(-68.3928515532197, 42.499303477161)"
Jan,background,"c(-71.7656662976809, 39.7023351524859)"
Jan,background,"c(-70.5317096838536, 42.3347759286507)"
Jan,background,"c(-69.7090719413021, 43.2396774454574)"
Jan,background,"c(-66.5007847453512, 44.5558978335398)"
Jan,background,"c(-70.1203908125779, 42.3347759286507)"
Jan,background,"c(-69.626808167047, 42.8283585741816)"
Jan,background,"c(-68.0637964561991, 42.0057208316301)"
Jan,background,"c(-67.4056862621579, 44.2268427365192)"
Jan,background,"c(-69.2977530700264, 41.5121381860992)"
Jan,background,"c(-69.0509617472609, 42.4170397029058)"
Jan,background,"c(-70.2849183610882, 43.4864687682228)"
Jan,background,"c(-68.8041704244955, 42.2525121543955)"
Jan,background,"c(-69.4622806185367, 42.6638310256713)"
Jan,background,"c(-72.4237764917221, 39.4555438297204)"
Jan,background,"c(-68.9686979730058, 41.2653468633337)"
Jan,background,"c(-70.3671821353433, 43.0751498969471)"
Jan,background,"c(-69.3800168442815, 41.1008193148234)"
Jan,background,"c(-69.5445443927918, 43.0751498969471)"
Jan,background,"c(-69.2977530700264, 42.6638310256713)"
Jan,background,"c(-66.4185209710961, 42.2525121543955)"
Jan,background,"c(-69.2154892957712, 42.8283585741816)"
Jan,background,"c(-68.2283240047094, 41.6766657346095)"
Jan,background,"c(-71.5188749749155, 39.784598926741)"
Jan,background,"c(-68.7219066502403, 41.5121381860992)"
Jan,background,"c(-68.2283240047094, 42.6638310256713)"
Jan,background,"c(-69.1332255215161, 41.8411932831198)"
Jan,background,"c(-71.7656662976809, 40.0313902495065)"
Jan,background,"c(-69.0509617472609, 41.8411932831198)"
Jan,background,"c(-69.626808167047, 40.6072366692925)"
Jan,background,"c(-71.1898198778948, 40.1136540237616)"
Jan,background,"c(-71.6011387491706, 39.784598926741)"
Jan,background,"c(-68.6396428759852, 42.3347759286507)"
Jan,background,"c(-69.1332255215161, 43.4864687682228)"
Jan,background,"c(-72.341512717467, 39.6200713782307)"
Jan,background,"c(-68.0637964561991, 43.9800514137537)"
Jan,background,"c(-69.2154892957712, 41.9234570573749)"
Jan,background,"c(-68.3105877789646, 42.0879846058852)"
Jan,background,"c(-69.3800168442815, 42.7460947999264)"
Jan,background,"c(-72.341512717467, 39.4555438297204)"
Jan,background,"c(-69.7090719413021, 41.7589295088646)"
Jan,background,"c(-70.7785010066191, 40.9362917663131)"
Jan,background,"c(-68.4751153274749, 41.6766657346095)"
Jan,background,"c(-68.2283240047094, 43.4042049939677)"
Jan,background,"c(-69.2977530700264, 41.5944019603543)"
Jan,background,"c(-67.0766311651373, 43.4042049939677)"
Jan,background,"c(-66.3362571968409, 42.1702483801404)"
